id_empresa,ene_des_cod,ene_sum_ele,ene_pag_ali,ene_us_anu,ene_con_mes_ene_kwh,ene_con_mes_ene_val,ene_con_mes_feb_kwh,ene_con_mes_feb_val,ene_con_mes_mar_kwh,ene_con_mes_mar_val,ene_con_mes_abr_kwh,ene_con_mes_abr_val,ene_con_mes_may_kwh,ene_con_mes_may_val,ene_con_mes_jun_kwh,ene_con_mes_jun_val,ene_con_mes_jul_kwh,ene_con_mes_jul_val,ene_con_mes_ago_kwh,ene_con_mes_ago_val,ene_con_mes_sep_kwh,ene_con_mes_sep_val,ene_con_mes_oct_kwh,ene_con_mes_oct_val,ene_con_mes_nov_kwh,ene_con_mes_nov_val,ene_con_mes_dic_kwh,ene_con_mes_dic_val,ene_con_anu_kwh,ene_con_anu_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD,EMPRESAS_VALIDAS,empresa_unica
13601929010,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601929010,1,1,2,98,99999,99999,99999,99999,3112171,190210.12,32089007,195569.33,3139358,253318.51,3329241,267986.43,3484577,279772.6,3447694,282647.85,3426801,275668.92,3611437,290365.63,3413930,277560.99,2466226,213573.64,61520442,2526674.02,1.05546492659054,C,5,C,1,0
13601929010,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601930018,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601930018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601930018,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601930018,1,1,2,99,42371,4078.76,92813,11240.93,44461,4117.17,50794,4320.71,56007,6613.58,53817,6772.22,52234,6815.12,61554,6481.64,56387,5853.76,42343,4772.31,38857,3887.81,99999,99999,591638,64954.01,1.05546492659054,C,5,C,1,0
13601930018,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601931014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601931014,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601931014,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601931014,1,1,2,95,17233,1625.63,17233,1369.56,14506,1489.01,16485,1642.96,17111,2005.22,17222,1976.98,16586,1724.91,16338,1837.29,13581,1923.57,16714,1798.06,16056,1925.4,16257,2013.17,195322,21331.76,1.05546492659054,C,5,C,1,0
13601931014,5,1, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601937012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,1
13601937012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13601937012,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13601937012,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C,1,0
13601937012,1,1,2,100,6011,438.12,5620,413.69,6499,461.16,6836,490.64,6589,599.67,6153,556.61,6550,590.36,6186,547.77,6133,556.34,6333,583.77,5497,526.02,6060,547.33,74467,6311.48,3.72254335260116,C,3,C,1,0
13601946011,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I,1,1
13601946011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I,1,0
13601946011,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I,1,0
13601946011,1,1,2,99,24316,1640.26,23096,1579.84,26892,1799.95,26990,1824.48,27620,2357.06,25649,2210.4,27733,2381.26,26879,2302.71,25262,2162.41,27409,2335.96,27003,2303.75,99999,99999,288849,22898.08,1.40816326530612,I,4,I,1,0
13601946011,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.40816326530612,I,4,I,1,0
13601954014,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601954014,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
