id_empresa,fue_cap_des_cod,fue_cap_cue,fue_cap_reg,fue_cap_tot_anio,fue_cap_tot_por_con,fue_cap_aut_apr_agu,fue_cap_cua_aut,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
14843695176,1,2, , , , , ,1.03846153846154,H,5,H
14843695176,3,2, , , , , ,1.03846153846154,H,5,H
14843695176,4,2, , , , , ,1.03846153846154,H,5,H
14844210150,1,1,1,29921,1,1,1,3.21052631578947,B,3,B
14844210150,2,2, , , , , ,3.21052631578947,B,3,B
14844210150,3,2, , , , , ,3.21052631578947,B,3,B
14844210150,4,2, , , , , ,3.21052631578947,B,3,B
14844901098,1,2, , , , , ,1.05546492659054,C,5,C
14844901098,2,2, , , , , ,1.05546492659054,C,5,C
14844901098,4,2, , , , , ,1.05546492659054,C,5,C
14844901098,3,2, , , , , ,1.05546492659054,C,5,C
14845470171,1,2, , , , , ,1.34308510638298,C,4,C
14845470171,3,2, , , , , ,1.34308510638298,C,4,C
14845470171,2,2, , , , , ,1.34308510638298,C,4,C
14845470171,4,2, , , , , ,1.34308510638298,C,4,C
14847005093,1,2, , , , , ,1.05546492659054,C,5,C
14847005093,2,1,2, , ,2, ,1.05546492659054,C,5,C
14847005093,3,2, , , , , ,1.05546492659054,C,5,C
14847005093,4,2, , , , , ,1.05546492659054,C,5,C
14847027011,2,1,1,1500,90,1,1,1.05546492659054,C,5,C
14847027011,4,2, , , , , ,1.05546492659054,C,5,C
14847027011,3,2, , , , , ,1.05546492659054,C,5,C
14847027011,1,2, , , , , ,1.05546492659054,C,5,C
14847179172,1,2, , , , , ,1.40816326530612,I,4,I
14847179172,2,2, , , , , ,1.40816326530612,I,4,I
14847179172,3,2, , , , , ,1.40816326530612,I,4,I
14847179172,4,2, , , , , ,1.40816326530612,I,4,I
14847635186,1,2, , , , , ,1.05546492659054,C,5,C
14847635186,2,2, , , , , ,1.05546492659054,C,5,C
14847635186,3,2, , , , , ,1.05546492659054,C,5,C
14847635186,4,2, , , , , ,1.05546492659054,C,5,C
14847749173,1,1,1,117.91,90,1,1,1.05546492659054,C,5,C
14847749173,2,2, , , , , ,1.05546492659054,C,5,C
14847749173,3,2, , , , , ,1.05546492659054,C,5,C
14847749173,4,2, , , , , ,1.05546492659054,C,5,C
14848290077,1,2, , , , , ,3.72254335260116,C,3,C
14848290077,2,2, , , , , ,3.72254335260116,C,3,C
14848290077,3,2, , , , , ,3.72254335260116,C,3,C
14848290077,4,2, , , , , ,3.72254335260116,C,3,C
14848721175,1,2, , , , , ,1.05546492659054,C,5,C
14848721175,2,2, , , , , ,1.05546492659054,C,5,C
14848721175,3,2, , , , , ,1.05546492659054,C,5,C
14848721175,4,2, , , , , ,1.05546492659054,C,5,C
14848951171,1,2, , , , , ,3.50724637681159,H,3,H
14848951171,2,1,2, , ,2, ,3.50724637681159,H,3,H
14848951171,3,2, , , , , ,3.50724637681159,H,3,H
14848951171,4,2, , , , , ,3.50724637681159,H,3,H
14849388178,4,2, , , , , ,3.50724637681159,H,3,H
14849388178,3,2, , , , , ,3.50724637681159,H,3,H
14849388178,2,2, , , , , ,3.50724637681159,H,3,H
14849388178,1,2, , , , , ,3.50724637681159,H,3,H
14849628098,1,2, , , , , ,1.05546492659054,C,5,C
14849628098,2,2, , , , , ,1.05546492659054,C,5,C
14849628098,3,2, , , , , ,1.05546492659054,C,5,C
14849628098,4,2, , , , , ,1.05546492659054,C,5,C
14849857097,1,2, , , , , ,1.40816326530612,I,4,I
14849857097,2,2, , , , , ,1.40816326530612,I,4,I
14849857097,3,2, , , , , ,1.40816326530612,I,4,I
14849857097,4,2, , , , , ,1.40816326530612,I,4,I
